{ 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25 26 27 28 29 30 31 32 33 34 35 36 37 38 39 40 41 42 43 44 45 46 47 48 49 50 }
{
	({ 4 5 7 15 23 25 29 34 35 42 43 45 47 49 50 },1)
	({ 6 9 12 20 37 41 42 },3)
	({ 10 31 32 35 38 48 },5)
	({ 7 8 15 32 39 45 50 },5)
	({ 2 4 14 19 21 24 25 27 34 41 42 45 47 50 },1)
	({ 1 8 15 20 22 26 30 38 42 },3)
	({ 1 3 4 11 16 20 34 41 },3)
	({ 4 13 14 18 19 21 24 36 37 45 },1)
	({ 1 8 14 15 25 33 37 39 40 41 43 45 },4)
	({ 3 5 6 7 19 22 23 33 38 40 42 },5)
	({ 3 5 18 26 27 29 31 36 37 44 48 49 },4)
	({ 1 6 10 14 17 28 30 32 45 47 },1)
	({ 1 11 13 14 22 32 42 },1)
	({ 3 5 13 20 29 32 37 44 },5)
	({ 22 24 26 38 39 44 },1)
	({ 14 22 23 24 26 38 42 44 },4)
	({ 1 9 12 19 21 26 28 32 33 36 43 },5)
	({ 4 7 13 17 18 24 32 37 41 42 45 46 },4)
	({ 15 16 17 24 43 47 },1)
	({ 2 4 10 11 13 16 19 26 31 41 42 44 46 },5)
	({ 1 10 11 13 16 17 19 27 30 42 50 },2)
	({ 11 15 22 23 25 27 41 },1)
	({ 16 18 26 33 39 44 47 },1)
	({ 4 10 14 32 39 45 50 },2)
	({ 16 22 27 29 31 34 49 50 },3)
	({ 15 23 24 26 27 34 36 40 43 46 },3)
	({ 5 6 7 8 24 29 31 33 35 37 43 48 },1)
	({ 1 11 16 21 25 49 },3)
	({ 1 16 28 31 35 37 39 44 47 },1)
	({ 2 6 9 10 15 25 29 32 36 39 40 41 42 43 46 48 },4)
	({ 1 8 19 20 27 28 29 32 37 49 },4)
	({ 25 32 41 43 44 49 },3)
	({ 7 8 10 17 33 34 38 41 42 43 },4)
	({ 1 4 5 6 13 16 22 23 28 31 42 50 },2)
	({ 4 6 9 10 14 18 20 21 27 34 39 41 42 45 46 },2)
	({ 5 27 28 32 45 },2)
	({ 3 11 12 16 21 25 28 30 36 37 39 41 48 },4)
	({ 3 13 15 20 22 32 36 38 41 },3)
	({ 6 9 18 23 44 46 49 },1)
	({ 1 4 12 14 15 16 17 20 23 24 37 46 50 },1)
	({ 11 12 20 23 25 30 34 40 42 },1)
	({ 5 7 10 12 14 19 24 31 33 43 45 },4)
	({ 8 9 16 19 25 28 29 31 36 42 },4)
	({ 7 23 26 27 33 38 41 43 45 46 50 },1)
	({ 4 15 16 17 20 21 24 37 41 47 48 },1)
	({ 1 8 16 19 21 25 30 37 42 45 50 },5)
	({ 5 8 9 30 33 },4)
	({ 2 13 20 27 30 33 34 36 },1)
	({ 13 24 29 31 37 42 46 48 },3)
	({ 4 10 17 21 27 29 35 37 48 },3)
	({ 7 8 9 11 22 25 27 28 31 32 33 35 38 39 42 43 },5)
	({ 4 8 21 24 25 26 35 41 43 49 },2)
	({ 3 6 8 13 14 17 19 26 36 43 47 48 },4)
	({ 1 5 6 12 14 17 19 37 44 },4)
	({ 3 10 11 19 29 30 33 34 36 37 41 44 45 50 },4)
	({ 1 11 15 18 22 31 34 35 42 43 45 50 },3)
	({ 3 8 9 16 17 23 26 29 33 35 37 46 },2)
	({ 9 11 16 17 22 25 32 41 43 45 46 },4)
	({ 4 8 16 17 20 21 34 40 42 43 46 47 49 },4)
	({ 1 5 8 9 11 12 13 18 19 22 24 27 35 45 46 47 49 },1)
	({ 11 14 21 29 30 44 47 48 },4)
	({ 4 6 8 19 23 24 26 27 28 30 34 41 },2)
	({ 8 27 29 40 46 47 50 },3)
	({ 2 14 16 18 24 26 40 44 },5)
	({ 1 4 8 9 10 13 16 17 24 28 29 41 42 43 45 48 },4)
	({ 2 4 5 6 10 13 14 15 16 19 25 36 42 43 44 45 },2)
	({ 4 8 13 16 31 35 37 41 42 44 47 },4)
	({ 5 6 7 9 14 27 29 35 38 42 47 },4)
	({ 1 13 27 33 45 },1)
	({ 6 16 21 24 27 32 36 38 42 48 },5)
	({ 14 15 26 28 29 30 37 41 47 50 },1)
	({ 2 4 9 13 15 16 17 20 21 22 23 24 25 27 31 33 35 37 38 41 47 },4)
	({ 1 19 25 27 32 38 41 43 44 49 },2)
	({ 8 10 13 17 20 23 26 34 37 43 48 },3)
	({ 8 13 15 31 33 38 47 49 },3)
	({ 11 22 24 26 32 39 47 },2)
	({ 17 46 },4)
	({ 1 2 9 10 16 17 18 23 27 29 30 32 47 },3)
	({ 7 15 16 19 42 48 },5)
	({ 2 3 4 5 10 12 13 16 18 28 29 30 50 },1)
	({ 4 5 8 15 24 25 26 29 50 },1)
	({ 2 4 7 11 12 23 24 25 34 35 40 },3)
	({ 2 6 9 21 25 28 40 41 },3)
	({ 4 6 13 17 18 22 30 35 38 41 45 48 50 },1)
	({ 10 21 24 30 42 45 48 },1)
	({ 3 5 14 21 24 28 29 32 36 40 },3)
	({ 1 3 16 22 44 },3)
	({ 4 9 18 19 24 25 30 36 40 45 },5)
	({ 21 26 33 38 47 48 49 },3)
	({ 12 13 21 23 24 35 43 48 50 },4)
	({ 4 12 14 15 17 19 21 22 37 41 48 },2)
	({ 2 4 8 9 13 15 21 24 29 33 38 49 },1)
	({ 1 2 15 27 29 31 34 38 41 43 44 45 },4)
	({ 16 20 27 29 31 39 40 48 },2)
	({ 2 5 8 9 11 14 18 22 27 36 39 },1)
	({ 10 13 15 16 17 19 25 27 29 30 31 32 34 35 38 46 },3)
	({ 5 7 27 28 29 40 43 },5)
	({ 5 19 23 24 28 30 33 37 45 48 49 },2)
	({ 4 9 13 16 24 32 36 47 },1)
	({ 7 8 11 15 17 18 25 35 41 44 45 },3)
	({ 5 13 17 24 25 30 32 36 38 41 43 49 },4)
	({ 9 12 14 15 19 20 22 34 37 42 50 },2)
	({ 2 8 11 15 16 17 26 35 39 43 },4)
	({ 7 8 10 14 15 22 39 41 46 48 },3)
	({ 1 12 14 15 23 36 39 44 47 49 },3)
	({ 2 5 11 15 21 24 25 29 30 31 32 34 48 },3)
	({ 3 7 8 13 19 37 38 42 46 50 },2)
	({ 3 7 10 12 15 23 40 45 48 },2)
	({ 1 5 12 14 15 20 23 24 28 33 36 38 },3)
	({ 7 13 14 15 16 18 21 24 27 28 32 42 },2)
	({ 27 35 36 39 43 45 },3)
	({ 7 10 13 14 18 34 38 46 47 },3)
	({ 5 6 21 23 29 35 36 39 43 47 },1)
	({ 9 22 23 27 34 41 45 46 47 },2)
	({ 3 6 8 9 14 21 23 38 40 },5)
	({ 1 5 13 14 16 21 47 50 },4)
	({ 1 7 11 14 16 20 24 26 30 33 36 37 42 44 49 },5)
	({ 12 19 33 35 50 },5)
	({ 2 12 19 20 21 26 35 37 43 48 },4)
	({ 1 6 9 11 18 21 30 31 33 42 43 },4)
	({ 1 3 13 17 23 25 31 33 41 43 48 },3)
	({ 1 3 9 11 12 14 15 28 31 39 45 },1)
	({ 1 6 15 17 20 23 28 35 37 47 },2)
	({ 12 13 22 23 31 38 39 41 48 50 },1)
	({ 1 4 5 9 10 13 16 18 20 23 25 31 32 42 50 },5)
	({ 2 13 20 22 42 },4)
	({ 7 8 15 16 18 21 26 27 28 30 31 41 46 47 50 },2)
	({ 5 9 14 19 22 37 40 43 },2)
	({ 7 8 13 20 34 35 37 40 50 },2)
	({ 12 13 17 19 29 39 42 45 46 47 },5)
	({ 3 9 26 28 },1)
	({ 5 7 16 18 38 41 45 48 },5)
	({ 2 4 10 12 16 18 19 21 31 37 40 41 42 44 48 },1)
